date,Wichita-Hutchinson KS
2017-01-15,36.11
2017-01-22,40.861
2017-01-29,36.11
2017-02-05,16.154
2017-02-12,39.436
2017-03-12,37.377
2017-03-26,26.607
2017-04-02,29.268
2017-04-09,19.005
2017-04-16,19.955
2017-05-07,39.594
2017-05-21,36.743
2017-05-28,62.527
2017-06-04,49.603
2017-06-18,30.408
2017-06-25,54.165
2017-07-02,39.436
2017-07-09,42.762
2017-07-23,61.767
2017-07-30,42.762
2017-08-06,39.911
2017-08-20,27.082
2017-08-27,39.911
2017-09-03,57.83
2017-09-10,18.055
2017-09-17,23.756
2017-10-01,36.11
2017-10-15,56.857
2017-10-22,22.806
2017-10-29,32.071
2017-11-05,31.168
2017-11-12,35.92
2017-11-19,38.01
2017-11-26,32.037
2017-12-03,43.078
2017-12-10,36.11
2017-12-17,39.911
2017-12-24,54.283
2018-01-07,38.0
2018-01-28,33.557
2018-02-04,20.0
2018-02-11,36.967
2018-02-18,29.998
2018-02-25,27.706
2018-03-18,53.687
2018-03-25,53.983
2018-04-01,42.033
2018-04-08,32.348
2018-05-13,37.823
2018-05-20,24.977
2018-06-10,32.118
2018-06-17,30.387
2018-07-01,18.055
2018-07-08,55.115
2018-07-15,23.375
2018-07-29,39.909
2018-08-12,27.868
2018-08-19,26.607
2018-08-26,38.531
2018-09-02,29.496
2018-09-09,52.327
2018-09-16,41.529
2018-09-23,38.0
2018-09-30,23.756
2018-10-07,21.949
2018-10-21,68.418
2018-10-28,34.209
2018-11-04,45.0
2018-11-11,21.406
2018-11-18,32.626
2018-11-25,23.0
2018-12-09,20.646
2018-12-16,62.063
2018-12-23,26.639
2018-12-30,33.426
2019-01-13,25.688
2019-01-20,53.0
2019-02-03,29.458
2019-02-10,21.882
2019-02-17,19.519
2019-02-24,33.774
2019-03-10,40.783
2019-03-24,51.376
2019-03-31,37.805
2019-04-14,94.776
2019-04-21,31.552
2019-04-28,40.164
2019-05-05,21.0
2019-05-12,51.314
2019-05-19,20.317
2019-06-02,43.096
2019-06-16,59.921
2019-06-23,43.163
2019-06-30,40.64
2019-07-07,30.755
2019-07-14,29.0
2019-07-28,28.519
2019-08-18,25.317
2019-08-25,19.005
2019-09-08,22.834
2019-09-15,88.955
2019-09-22,18.0
2019-09-29,26.039
2019-10-06,100.0
2019-10-13,19.756
2019-10-27,19.893
2019-11-10,29.786
2019-11-17,29.723
2019-11-24,89.0
2019-12-08,35.419
2019-12-15,56.608
2019-12-22,29.101
2020-01-05,39.911
2020-01-12,21.121
2020-01-19,16.154
2020-01-26,24.502
2020-02-09,57.257
2020-02-16,25.0
2020-03-01,20.931
2020-03-08,20.646
2020-03-22,19.785
2020-03-29,38.01
2020-04-05,19.028
2020-04-12,53.278
2020-05-10,47.877
2020-05-17,18.077
2020-05-24,24.219
2020-05-31,45.709
2020-06-07,35.566
2020-06-14,18.055
2020-07-12,41.157
2020-07-19,20.646
2020-07-26,37.004
2020-08-16,23.375
2020-08-30,23.0
2020-09-13,23.785
2020-09-20,24.373
2020-09-27,75.583
2020-10-04,27.891
2020-10-25,90.858
2020-11-01,14.0
2020-11-08,29.969
2020-11-15,24.977
2020-11-22,32.309
2020-11-29,33.568
2020-12-06,32.0
2020-12-13,30.436
2021-01-03,28.057
2021-01-24,19.005
2021-01-31,19.519
2021-02-07,19.953
2021-02-14,24.014
2021-02-21,26.579
2021-02-28,51.154
2021-03-07,19.0
2021-03-14,28.508
2021-03-21,33.602
2021-03-28,18.0
2021-04-04,25.874
2021-04-11,38.009
2021-04-25,42.034
2021-05-02,19.0
2021-05-09,33.317
2021-05-16,33.37
2021-05-23,34.944
2021-05-30,34.204
2021-06-06,32.454
2021-06-13,34.951
2021-06-27,22.248
2021-07-11,35.421
2021-07-18,39.0
2021-08-01,39.275
2021-08-08,31.358
2021-08-29,19.005
2021-09-05,31.002
2021-09-12,44.716
2021-10-03,51.0
2021-10-10,36.857
2021-10-17,19.955
2021-10-31,24.198
2021-11-14,25.657
2021-12-12,63.023
2021-12-26,50.0
2022-01-09,33.102
2022-01-16,21.0
2022-01-23,38.122
2022-02-06,49.226
2022-02-27,46.482
2022-03-06,16.95
2022-03-20,17.782
2022-03-27,22.757
2022-04-03,17.489
2022-04-10,20.861
2022-04-17,15.241
2022-05-01,16.193
2022-05-08,23.0
2022-05-15,22.0
2022-05-22,20.956
2022-06-05,34.656
2022-06-12,22.861
2022-06-19,32.596
2022-07-03,39.0
2022-07-10,27.624
2022-07-17,48.693
2022-07-24,19.825
2022-08-14,22.0
2022-08-28,29.529
2022-09-11,15.683
2022-09-25,40.273
2022-10-02,41.722
2022-10-16,24.812
2022-10-23,25.0
2022-10-30,15.0
2022-11-06,17.0
2022-11-27,21.909
2022-12-11,34.0
2022-12-18,75.204
2022-12-25,19.051
