date,Charlotte NC
2017-01-01,57.105
2017-01-08,52.623
2017-01-15,69.827
2017-01-29,19.228
2017-02-05,35.644
2017-02-12,23.276
2017-02-19,21.027
2017-02-26,58.189
2017-03-05,36.865
2017-03-12,31.227
2017-03-19,40.046
2017-03-26,23.999
2017-04-02,24.288
2017-04-09,26.312
2017-04-16,45.539
2017-04-23,25.576
2017-04-30,25.862
2017-05-07,56.292
2017-05-14,24.035
2017-05-21,32.721
2017-05-28,21.252
2017-06-04,42.616
2017-06-11,16.192
2017-06-25,28.167
2017-07-02,35.925
2017-07-09,34.408
2017-07-16,26.818
2017-07-23,23.565
2017-08-06,35.757
2017-08-20,27.155
2017-08-27,25.3
2017-09-03,39.467
2017-09-10,52.286
2017-09-17,28.336
2017-09-24,20.24
2017-10-01,40.648
2017-10-08,21.758
2017-10-15,43.178
2017-10-22,29.685
2017-10-29,20.619
2017-11-05,19.396
2017-11-12,31.119
2017-11-19,46.985
2017-11-26,46.551
2017-12-03,33.508
2017-12-17,32.384
2017-12-31,42.503
2018-01-07,46.371
2018-01-14,21.959
2018-01-21,51.282
2018-01-28,63.063
2018-02-04,35.959
2018-02-11,38.397
2018-02-18,22.634
2018-02-25,23.763
2018-03-04,74.325
2018-03-11,58.664
2018-03-18,30.198
2018-03-25,37.848
2018-04-01,21.932
2018-04-08,20.24
2018-04-15,33.706
2018-04-29,35.235
2018-05-06,44.942
2018-05-20,49.329
2018-06-03,68.815
2018-06-10,36.401
2018-06-24,38.337
2018-07-01,44.296
2018-07-08,19.35
2018-07-15,55.094
2018-07-22,48.942
2018-08-05,41.562
2018-08-12,21.868
2018-08-19,40.998
2018-08-26,43.139
2018-09-02,71.392
2018-09-09,27.941
2018-09-16,53.443
2018-09-23,29.34
2018-09-30,25.827
2018-10-07,31.167
2018-10-14,27.256
2018-10-28,38.871
2018-11-04,43.427
2018-11-11,39.847
2018-11-18,19.228
2018-11-25,29.546
2018-12-02,20.562
2018-12-09,32.011
2018-12-16,36.949
2018-12-23,55.927
2018-12-30,43.923
2019-01-06,39.809
2019-01-13,48.34
2019-01-20,33.209
2019-01-27,84.877
2019-02-03,56.825
2019-02-10,29.343
2019-02-17,14.34
2019-02-24,27.614
2019-03-03,55.87
2019-03-10,45.927
2019-03-24,48.563
2019-03-31,33.572
2019-04-07,26.312
2019-04-14,26.801
2019-04-28,25.413
2019-05-12,31.578
2019-05-19,24.288
2019-05-26,24.376
2019-06-02,31.46
2019-06-09,28.915
